country,iso2,iso3,iso_numeric,g_whoregion,year,pulm_labconf_new,pulm_labconf_ret,pulm_labconf_unk,r_rlt_new,r_rlt_ret,rr_new,rr_ret,dst_rlt_new,dst_rlt_ret,dst_rlt_hr_new,dst_rlt_hr_ret,dst_rlt_rr_new,dst_rlt_rr_ret,mdr_new,mdr_ret,rr_dst_rlt,rr_ds_fq2li,rr_dr_fq,rr_dr_2li,rr_dr_fq_2li,mdr_dst_rlt,xdr,Pre
Republic of Korea,KR,KOR,410,WPR,2017,16685,5020,354,13558,3183,440,320,12739,2822,1124,470,428,300,320,246,710,563,108,83,44,560,42,1
Republic of Moldova,MD,MDA,498,EUR,2017,1494,773,0,1444,509,399,280,1159,327,424,201,316,181,308,178,533,383,89,93,32,475,30,1
Romania,RO,ROU,642,EUR,2017,7060,2264,0,6102,1934,151,292,6048,1910,248,344,149,288,97,259,163,77,55,77,46,142,43,1
Russian Federation,RU,RUS,643,EUR,2017,32978,26058,0,29081,24792,9312,16567,29081,24792,11275,17737,9312,16567,8206,14611,22528,0,5672,7403,3562,20477,3562,1
Saudi Arabia,SA,SAU,682,EMR,2017,1707,139,16,1026,104,30,17,529,45,39,9,18,10,9,7,0,0,0,0,0,0,0,0
Senegal,SN,SEN,686,AFR,2017,9418,1001,0,4750,1001,24,62,13,40,9,33,9,39,9,33,49,45,3,1,0,40,0,1
Serbia,RS,SRB,688,EUR,2017,464,47,2,327,30,1,4,327,30,5,4,1,4,1,4,0,0,0,0,0,0,0,1
South Africa,ZA,ZAF,710,AFR,2017,113126,16455,2879,4103,1410,3735,1349,4014,1386,2376,852,3732,1348,2311,837,0,0,0,0,0,0,0,1
Thailand,TH,THA,764,SEA,2017,34195,3242,174,18630,5840,867,472,11227,3525,0,0,0,0,377,232,272,251,18,10,7,272,7,1
Uganda,UG,UGA,800,AFR,2017,25494,2599,26,15644,1271,626,76,35,74,30,65,35,74,30,65,104,95,5,9,5,75,3,1
Ukraine,UA,UKR,804,EUR,2017,12840,7212,0,12122,6502,3388,3113,12122,6502,3936,2989,3388,3113,2594,2414,6501,3265,1965,2351,1080,5008,1001,1
United Arab Emirates,AE,ARE,784,EMR,2017,46,4,0,35,4,0,1,20,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,GB,GBR,826,EUR,2017,2133,136,112,2011,128,28,6,2006,128,141,10,28,6,24,4,31,21,10,3,3,27,3,1
United Republic of Tanzania,TZ,TZA,834,AFR,2017,26364,2625,0,9503,1047,134,66,289,231,17,25,20,31,15,24,0,43,1,0,0,39,0,1
United States of America,US,USA,840,AMR,2017,5803,288,45,5189,238,104,24,5180,238,473,48,104,24,90,21,95,78,13,5,1,85,1,1
